date,movie,bool,average_rating,average_votes,genres,num
1995-10-20,Dilwale Dulhania Le Jayenge,FALSE,8.7,3011,comedy friends,1
1994-09-23,The Shawshank Redemption,FALSE,8.7,19210,mental health,2
2020-07-31,Gabriel's Inferno Part II,FALSE,8.7,1278,emperor manufacturer,3
1972-03-14,The Godfather,FALSE,8.7,14499,gangsters fight,4
2020-11-19,Gabriel's Inferno Part III,FALSE,8.7,839,fightclub building,5
2020-05-29,Gabriel's Inferno,FALSE,8.6,2072,ruling spaceship,6
1993-11-30,Schindler's List,FALSE,8.6,11540,love romance,7
1974-12-20,The Godfather: Part II,FALSE,8.6,8672,universe voyager,8
1974-12-20,The Godfather: Part II,FALSE,8.6,8672,killing ganleadership,9
2016-08-26,Your Name.,FALSE,8.6,7622,carchases fightscenes,10
2001-07-20,Spirited Away,FALSE,8.5,11520,spirits adventure,11
2019-05-30,Parasite,FALSE,8.5,11678,heaven gods,12
2019-12-20,My Hero Academia: Heroes Rising,FALSE,8.5,749,heros villians,13
2019-06-15,Rascal Does Not Dream of a Dreaming Girl,FALSE,8.5,281,cowards fools,14
1999-12-10,The Green Mile,FALSE,8.5,12463,running racing,15
2020-10-26,Wolfwalkers,FALSE,8.5,492,wolfs adventrues,16
1957-04-10,12 Angry Men,FALSE,8.5,5669,pschology beatuy,17
2019-11-01,Dedicated to my ex,FALSE,8.5,398,action drama,18
2020-11-27,Life in a Year,FALSE,8.5,695,animation comedy,19
1994-09-10,Pulp Fiction,FALSE,8.5,21360,crime intelligence,20
2000-09-15,A Dog's Will,FALSE,8.5,786,passion wisdom,21